left,right,timestamp,pregunta
0.0,0.0,1.642093063726E12,0
2.51735,3.1205,1.642093063737E12,0
2.27948,0.0,1.642093063747E12,0
2.35178,0.0,1.642093063758E12,0
2.34497,2.92255,1.642093063768E12,0
2.3412,0.0,1.642093063778E12,0
2.3253,0.0,1.642093063788E12,0
2.38521,2.90195,1.642093063799E12,0
2.65683,2.689,1.642093063809E12,0
2.66827,0.0,1.642093063819E12,0
2.59222,2.6492,1.64209306383E12,0
2.56598,2.65143,1.64209306384E12,0
2.56155,0.0,1.642093063851E12,0
2.56197,2.6588,1.642093063861E12,0
2.48935,2.6344,1.642093063871E12,0
2.41255,0.0,1.642093063882E12,0
2.43332,2.61739,1.642093063892E12,0
2.43842,2.63808,1.642093063903E12,0
2.49515,2.68689,1.642093063913E12,0
2.54384,2.65651,1.642093063923E12,0
2.5051,2.66255,1.642093063933E12,0
2.54393,2.6226,1.642093063944E12,0
2.5067,2.60788,1.642093063955E12,0
2.5041,2.61386,1.642093063965E12,0
2.38049,2.62186,1.642093063976E12,0
2.37946,2.57762,1.642093063986E12,0
2.35539,2.58014,1.642093063996E12,0
2.43466,2.59668,1.642093064006E12,0
2.30429,2.58266,1.642093064017E12,0
2.3029,2.54066,1.642093064027E12,0
2.28409,2.48965,1.642093064037E12,0
2.28351,2.47957,1.642093064048E12,0
2.21269,2.50356,1.642093064058E12,0
2.24091,2.51697,1.642093064068E12,0
2.36621,2.51126,1.642093064078E12,0
2.38878,2.52132,1.642093064089E12,0
2.3551,2.50098,1.642093064099E12,0
2.21542,2.5183,1.642093064109E12,0
2.20647,2.53911,1.642093064119E12,0
2.16965,2.54794,1.64209306413E12,0
2.29698,2.52638,1.64209306414E12,0
2.26958,2.50903,1.64209306415E12,0
2.27684,2.50447,1.64209306416E12,0
2.35997,2.48001,1.642093064171E12,0
2.3692,2.4742,1.642093064181E12,0
2.35327,2.46098,1.642093064191E12,0
2.21368,2.48892,1.642093064201E12,0
2.25909,2.49344,1.642093064212E12,0
2.24725,2.46506,1.642093064222E12,0
2.30873,2.45015,1.642093064232E12,0
2.28441,2.46027,1.642093064243E12,0
2.32594,2.46896,1.642093064253E12,0
2.33476,2.47618,1.642093064263E12,0
2.35054,2.46829,1.642093064273E12,0
2.342,2.466,1.642093064283E12,0
2.34013,2.45584,1.642093064294E12,0
2.31293,2.46704,1.642093064304E12,0
2.31346,2.4801,1.642093064315E12,0
2.30345,2.48407,1.642093064325E12,0
