left,right,timestamp,pregunta
2.40088,0.0,1641946873408,0
2.47998,2.4765,1641946873423,0
2.42369,2.35213,1641946873439,0
2.5694,2.60786,1641946873454,0
2.71931,2.75482,1641946873469,0
2.84868,2.87035,1641946873484,0
2.84302,2.85713,1641946873500,0
2.83041,2.8568,1641946873515,0
2.81894,2.85683,1641946873530,0
2.81667,2.85878,1641946873545,0
2.81772,2.8633,1641946873560,0
2.80046,2.86821,1641946873576,0
2.80255,2.8743,1641946873591,0
2.7908,2.86284,1641946873606,0
2.8148,2.8573,1641946873621,0
2.80562,2.84285,1641946873636,0
2.79222,2.85512,1641946873652,0
2.78108,2.86458,1641946873667,0
2.77985,2.88562,1641946873682,0
2.78896,2.87546,1641946873697,0
2.78831,2.85753,1641946873712,0
2.78534,0.0,1641946873727,0
2.79796,2.72096,1641946873743,0
2.80742,2.71831,1641946873758,0
2.80107,2.82338,1641946873773,0
2.78062,2.83316,1641946873788,0
2.7626,2.85513,1641946873804,0
2.76242,2.8741,1641946873819,0
2.77238,2.8671,1641946873834,0
2.76279,2.90652,1641946873849,0
2.75816,2.89949,1641946873865,0
2.80688,2.87865,1641946873880,0
2.81371,2.87502,1641946873895,0
2.81641,2.86633,1641946873910,0
0.0,2.88771,1641946873926,0
2.70221,2.91916,1641946873941,0
2.70593,2.92261,1641946873956,0
0.0,2.92798,1641946873971,0
2.70938,2.91199,1641946873987,0
2.70659,2.93079,1641946874002,0
0.0,2.94084,1641946874017,0
2.73856,2.94167,1641946874033,0
2.75377,2.95778,1641946874048,0
2.87383,2.9586,1641946874063,0
2.87181,2.96234,1641946874078,0
2.87106,2.96504,1641946874093,0
0.0,2.9541,1641946874108,0
2.76613,2.94576,1641946874124,0
2.7641,2.93031,1641946874139,0
2.81699,2.93657,1641946874154,0
2.81369,2.95016,1641946874169,0
2.82094,2.96281,1641946874184,0
2.84903,2.97812,1641946874200,0
2.83315,2.97183,1641946874215,0
2.8387,2.96649,1641946874230,0
0.0,2.97009,1641946874245,0
2.77353,2.98413,1641946874266,0
2.76595,3.01067,1641946874281,0
0.0,2.99974,1641946874297,0
2.77168,2.99257,1641946874312,0
2.76576,2.9751,1641946874327,0
